"","id","family","a_key","b_key","c_key","convergence","pdHess","N","npar","loglik","AIC","AICc","BIC","SD_est","dAIC","dAICc","dBIC"
"97",101,2,0,0,4,0,0,105,38,-215.396837470447,506.793674940894,551.702765849985,607.64416824688,FALSE,-1.1145908088771,34.5712793411971,77.8489405933651
"98",5,2,4,0,0,0,0,105,38,-216.746215610052,509.492431220104,554.401522129195,610.34292452609,FALSE,1.58416547033289,37.270035620407,80.547696872575
"99",11,2,0,2,0,0,0,105,39,-214.597241501534,507.194483003068,555.194483003068,610.698936659212,FALSE,-0.713782746702634,38.0629964942806,80.903709005697
"100",3,2,2,0,0,0,0,105,39,-215.31728449748,508.634568994961,556.634568994961,612.139022651104,FALSE,0.726303245189854,39.5030824861731,82.3437949975895
"101",4,2,3,0,0,0,0,105,40,-212.882474853687,505.764949707375,557.014949707375,611.923363713676,FALSE,-2.14331604239641,39.8834631985868,82.1281360601608
"102",16,2,0,3,0,0,0,105,40,-214.684561885322,509.369123770644,560.619123770644,615.527537776945,FALSE,1.4608580208731,43.4876372618563,85.7323101234304
"103",24,2,3,4,0,1,1,105,23,-233.111933905756,512.223867811511,525.853497441141,573.264955865134,TRUE,4.31560206174009,8.72201093235299,43.4697282116194
"104",43,2,2,3,1,1,0,105,7,-255.694829327711,525.389658655422,526.54429783068,543.967381106525,TRUE,17.4813929056514,9.41281132189238,14.1721534530104
"105",46,2,0,4,1,1,0,105,21,-230.862645978763,503.725291957526,514.857822078008,559.458459310834,FALSE,-4.18297379224532,-2.27366443078017,29.663231657319
"106",121,2,0,4,4,1,0,105,21,-231.587210184368,505.174420368737,516.306950489218,560.907587722045,FALSE,-2.73384538103448,-0.824536019569337,31.1123600685298
"107",71,2,0,4,2,1,0,105,22,-230.862108619262,505.724217238524,518.065680653158,564.111344941989,FALSE,-2.18404851124717,0.934194144370167,34.3161172884746
"108",72,2,1,4,2,1,0,105,5,-254.442996287268,518.885992574536,519.492053180597,532.155794325324,FALSE,10.9777268247652,2.36056667180901,2.36056667180901
"109",91,2,0,3,3,1,0,105,25,-226.914955067297,503.829910134594,520.285606337126,570.178918888532,FALSE,-4.0783556151772,3.15411982833768,40.3836912350172
"110",96,2,0,4,3,1,0,105,23,-230.858518668029,507.717037336059,521.346666965688,568.758125389682,FALSE,-0.191228413712338,4.2151804569005,38.962897736167
"111",48,2,2,4,1,1,0,105,5,-255.52054828002,521.041096560039,521.6471571661,534.310898310827,FALSE,13.1328308102682,4.51567065731206,4.51567065731217
"112",39,2,3,2,1,1,0,105,7,-253.945363240836,521.890726481673,523.045365656931,540.468448932776,FALSE,13.9824607319018,5.91387914814277,10.6732212792608
"113",23,2,2,4,0,1,0,105,22,-233.811573719116,511.623147438233,523.964610852867,570.010275141698,FALSE,3.71488168846167,6.83312434407901,40.2150474881835
"114",97,2,1,4,3,1,0,105,6,-255.642754949336,523.285509898672,524.142652755815,539.209271999617,FALSE,15.3772441489007,7.01116624702684,9.41404434610217
"115",15,2,4,2,0,1,0,105,22,-234.122532744185,512.245065488369,524.586528903004,570.632193191835,FALSE,4.33679973859836,7.45504239421575,40.8369655383201
"116",28,2,2,0,1,1,0,105,22,-234.322665107029,512.645330214058,524.986793628692,571.032457917524,FALSE,4.73706446428713,7.85530711990452,41.2372302640089
"117",20,2,4,3,0,1,0,105,23,-233.615219109492,513.230438218983,526.860067848613,574.271526272606,FALSE,5.32217246921238,9.72858133982527,44.4762986190917
"118",44,2,3,3,1,1,0,105,8,-254.722320693733,525.444641387466,526.944641387466,546.676324188727,FALSE,17.5363756376954,9.81315487867857,16.8810965352119
"119",37,2,1,2,1,1,0,105,5,-258.285990690035,526.57198138007,527.178041986131,539.841783130858,FALSE,18.6637156302991,10.046555477343,10.046555477343
"120",42,2,1,3,1,1,0,105,6,-257.763749776027,527.527499552054,528.384642409197,543.451261652999,FALSE,19.6192338022831,11.2531559004092,13.6560339994845
"121",22,2,1,4,0,1,0,105,21,-237.679417163935,517.358834327869,528.491364448351,573.092001681177,FALSE,9.45056857809806,11.3598779395631,43.2967740276624
"122",55,2,4,0,2,1,0,105,22,-236.104021303627,516.208042607254,528.549506021889,574.59517031072,FALSE,8.29977685748332,11.4180195131007,44.7999426572051
"123",80,2,4,0,3,1,0,105,23,-235.794799629833,517.589599259666,531.219228889296,578.630687313289,FALSE,9.6813335098953,14.0877423805082,48.8354596597745
"124",21,2,0,4,0,1,0,105,38,-216.768369212189,509.536738424379,554.44582933347,610.387231730365,FALSE,1.62847267460785,37.3143428246819,80.59200407685
"125",1,2,0,0,0,1,0,105,55,-196.990909896862,503.981819793723,629.696105508009,649.949639052387,FALSE,-3.92644595604776,112.564618999221,120.154411398872
